Setup title	"Solar Cell Cp-V"
Application test name	"Solar Cell Cp-V"
Test date	4/3/2023
Test time	18:27:11
Device ID	
Count	8
Flags	
Remarks	
Name	Anode	VdcStart	VdcStop	VdcStep	OscLevel	FREQ	IntegTime	HoldTime	DelayTime	CpMin	CpMax	GMin	GMax	NMin	NMax
Value	"CMU1:MF	MFCMU"	-5	5	0.1	0.06	2000000	MEDIUM	0	0	1E-15	5E-07	0	0.005	1E+15	1E+17
Name	Temp	Area	Es
Value	25	1	25.5
Vdc	Cp	Cp_2	G	N	W	Rp	D
-5	5.38971E-11	3.44246238779316E+20	0.000154024	-2390008213889.63	0.0004189126947461	6492.49467615437	0.227411873317788
-4.9	5.3879E-11	3.44477568370159E+20	0.000153952	-2669254715067.19	0.000419053423411719	6495.53107462066	0.227381928013601
-4.8	5.38647E-11	3.44660496451399E+20	0.000153776	-2353852195582.81	0.000419164673710241	6502.9653522006	0.227182278272277
-4.7	5.38423E-11	3.44947334163667E+20	0.000153616	-2207463263213.54	0.000419339058695487	6509.73856889907	0.227040317167086
-4.6	5.38256E-11	3.45161414977603E+20	0.000153589	-2176841854147.73	0.000419469163372076	6510.88294083561	0.227070841333374
-4.5	5.38027E-11	3.45455299058937E+20	0.000153455	-2002664053238.65	0.000419647701695268	6516.56837509368	0.226969295148505
-4.4	5.37826E-11	3.45713559129126E+20	0.000153306	-2092681395904.93	0.000419804535295802	6522.9019086011	0.226833657220479
-4.3	5.37616E-11	3.45983692557643E+20	0.000153191	-1827631049287.57	0.000419968516562007	6527.79863046785	0.22675203944076
-4.2	5.37356E-11	3.46318582361189E+20	0.000152961	-1672275448695.95	0.000420171718562741	6537.61416308732	0.226521144737246
-4.1	5.37103E-11	3.46644922886248E+20	0.000152822	-1689639103693.19	0.000420369638598183	6543.56048212954	0.22642190337045
-4	5.36849E-11	3.46973017525505E+20	0.000152685	-1392803151858.31	0.000420568528580662	6549.43183678816	0.226325954653843
-3.9	5.36489E-11	3.47438832092287E+20	0.00015242	-1289808260795.74	0.000420850742512894	6560.81879018502	0.226084751281693
-3.8	5.36187E-11	3.47830322659974E+20	0.000152267	-1231306146375.42	0.000421087780942097	6567.41119218215	0.225985017538468
-3.7	5.35797E-11	3.48336869714948E+20	0.000152059	-1056342247079.77	0.000421394285522315	6576.39468890365	0.225840584135565
-3.6	5.35382E-11	3.4887710389732E+20	0.000151867	-1082334053312.26	0.00042172092823442	6584.70898878624	0.225730261220427
-3.5	5.35013E-11	3.49358512932286E+20	0.000151496	-904078129473.738	0.000422011790367711	6600.83434546127	0.225334125139537
-3.4	5.34446E-11	3.50100183195902E+20	0.000151276	-792639495248.021	0.000422459507602265	6610.43390888178	0.225245611073669
-3.3	5.33948E-11	3.50753547183152E+20	0.000150944	-764207194396.039	0.000422853525062366	6624.973500106	0.224960892540745
