Setup title	"Solar Cell Cp-V"
Application test name	"Solar Cell Cp-V"
Test date	4/3/2023
Test time	18:28:56
Device ID	
Count	13
Flags	
Remarks	
Name	Anode	VdcStart	VdcStop	VdcStep	OscLevel	FREQ	IntegTime	HoldTime	DelayTime	CpMin	CpMax	GMin	GMax	NMin	NMax
Value	"CMU1:MF	MFCMU"	-5	5	0.1	0.06	50000	MEDIUM	0	0	1E-15	5E-07	0	0.005	1E+15	1E+17
Name	Temp	Area	Es
Value	25	1	25.5
Vdc	Cp	Cp_2	G	N	W	Rp	D
-5	5.60386E-11	3.18438409632329E+20	9.49758E-08	4817907340597.43	0.000402904058987912	10528997.9131526	0.00539480573894103
-4.9	5.60487E-11	3.18323654494228E+20	1.11453E-07	-1113169551610.51	0.00040283145550209	8972391.94996994	0.00632960117627188
-4.8	5.59514E-11	3.19431752688524E+20	1.18065E-07	-730438234241.742	0.000403531983113917	8469910.64244272	0.00671676789361816
-4.7	5.59159E-11	3.19837484401568E+20	1.01495E-07	12579470913299	0.000403788178317795	9852702.1035519	0.00577775943841233
-4.6	5.59591E-11	3.19343850800434E+20	1.03493E-07	-87868060635378.1	0.000403476456912281	9662489.25048071	0.00588695047826491
-4.5	5.59148E-11	3.19850068715327E+20	1.16807E-07	-838392850666.935	0.000403796121956977	8561130.75415001	0.00664954947088775
-4.4	5.58439E-11	3.20662754275791E+20	1.01431E-07	-3958555488586.76	0.000404308785740251	9858918.87095661	0.00578156075516148
-4.3	5.58904E-11	3.20129402742006E+20	1.0403E-07	-4276739068338.43	0.000403972406710276	9612611.74661155	0.00592477016799094
-4.2	5.58214E-11	3.20921306230164E+20	1.12094E-07	-1272516208723.68	0.000404471750977224	8921084.09013863	0.00639192646223399
-4.1	5.58147E-11	3.20998357680953E+20	9.61779E-08	-1211664925975.9	0.000404520303790937	10397398.9866695	0.0054850024101901
-4	5.57422E-11	3.21833901140485E+20	1.07533E-07	-959718080538.496	0.000405046435196314	9299470.86010806	0.0061405572422707
-3.9	5.57148E-11	3.22150528580807E+20	9.525E-08	-3056839580480.54	0.000405245633117233	10498687.664042	0.00544182455272454
-3.8	5.57109E-11	3.22195633974461E+20	1.10811E-07	-1373233185711.09	0.000405274002035508	9024374.83643321	0.00633129904523548
-3.7	5.56453E-11	3.22955751798513E+20	9.03505E-08	-1401222543348.39	0.000405751777778177	11068007.3712929	0.00516835336886599
-3.6	5.56428E-11	3.22984772894406E+20	1.06527E-07	-824353121090.327	0.000405770007979469	9387291.48478789	0.00609397752189128
-3.5	5.55301E-11	3.24297117793461E+20	1.02866E-07	-830752200318.677	0.000406593530355609	9721385.10294947	0.0058964894268496
-3.4	5.55285E-11	3.24315806678049E+20	1.01671E-07	-2910390007344.4	0.00040660524595478	9835646.34949986	0.0058281575115842
-3.3	5.54976E-11	3.24677052868028E+20	1.13088E-07	-494100131405.301	0.000406831635962636	8842671.19411432	0.00648623155033039
-3.2	5.53379E-11	3.26553732098783E+20	1.07868E-07	-554339486700.875	0.000408005713986255	9270589.98034635	0.00620468987852481
-3.1	5.53279E-11	3.2667178582678E+20	8.52524E-08	-919618231927.027	0.000408079457199713	11729875.0533709	0.00490470119793121
-3	5.52363E-11	3.27756143279934E+20	9.56892E-08	-446147020697.822	0.000408756187507129	10450500.1609377	0.00551427564138541
-2.9	5.51192E-11	3.29150249636155E+20	1.13553E-07	-299305745246.686	0.000409624584536786	8806460.41936365	0.00655761377266671
-2.8	5.49276E-11	3.31450556975697E+20	1.03374E-07	-300939706483.65	0.000411053448539532	9673612.32031265	0.00599060693974823
-2.7	5.48141E-11	3.32824604401035E+20	8.5161E-08	-388881862834.76	0.000411904590242292	11742464.2735524	0.00494536774612821
-2.6	5.46935E-11	3.34293989262303E+20	1.14041E-07	-200670427625.078	0.000412812846133453	8768776.14191387	0.00663705517662882
-2.5	5.43659E-11	3.38334929253313E+20	1.06593E-07	-141241920006.941	0.000415300388662746	9381479.08399238	0.00624097195079956
-2.4	5.40641E-11	3.42122821130387E+20	9.31918E-08	-125290046494.053	0.000417618704463775	10730557.8387798	0.00548679646036281
-2.3	5.36704E-11	3.47160524545213E+20	9.35673E-08	-78145723397.5491	0.00042068215254591	10687494.4558623	0.0055493151930174
-2.2	5.29796E-11	3.56272786047015E+20	9.72112E-08	-41062435864.4641	0.000426167419157563	10286880.5240548	0.0058406039320413
-2.1	5.17026E-11	3.74089254445934E+20	1.04151E-07	-20569039797.491	0.00043669330749324	9601444.0571862	0.00641211330879614
-2	4.93846E-11	4.10031214021601E+20	7.23045E-08	-10828140685.804	0.000457190691025137	13830397.8313936	0.00466040773147534
