Setup title	"Solar Cell Cp-V"
Application test name	"Solar Cell Cp-V"
Test date	4/3/2023
Test time	18:29:18
Device ID	
Count	14
Flags	
Remarks	
Name	Anode	VdcStart	VdcStop	VdcStep	OscLevel	FREQ	IntegTime	HoldTime	DelayTime	CpMin	CpMax	GMin	GMax	NMin	NMax
Value	"CMU1:MF	MFCMU"	-5	5	0.1	0.06	500000	MEDIUM	0	0	1E-15	5E-07	0	0.005	1E+15	1E+17
Name	Temp	Area	Es
Value	25	1	25.5
Vdc	Cp	Cp_2	G	N	W	Rp	D
1	5.11816E-11	3.81744055800213E+20	8.18205E-06	97044986647.0234	0.000441138600590837	122218.759357374	0.0508860098990798
1.1	5.15555E-11	3.76227029620837E+20	8.32086E-06	100254326802.447	0.000437939296486311	120179.885252246	0.0513739950063897
1.2	5.19374E-11	3.70714514435492E+20	8.44831E-06	101963103085.124	0.000434719092599938	118366.86864	0.0517773433892736
1.3	5.2315E-11	3.65382329812744E+20	8.6116E-06	105328514936.116	0.000431581370543821	116122.439500209	0.0523971598176627
1.4	5.26888E-11	3.6021631985703E+20	8.73634E-06	104735327398.531	0.000428519522175491	114464.409581129	0.0527790230763198
1.5	5.30876E-11	3.54824676803724E+20	8.87669E-06	106306924850.246	0.000425300435506597	112654.604362662	0.0532240708487388
1.6	5.34664E-11	3.49814746807884E+20	9.00455E-06	110065053998.091	0.000422287257043676	111054.966655746	0.053608196655039
1.7	5.38555E-11	3.44778261485752E+20	9.14843E-06	115696917060.021	0.000419236278560221	109308.37313069	0.0540712779950258
1.8	5.42121E-11	3.40257368162383E+20	9.25969E-06	131423794283.577	0.00041647859795138	107994.976073713	0.0543688746607848
1.9	5.45249E-11	3.36364570110552E+20	9.39689E-06	152405126617.323	0.000414089331663148	106418.187293881	0.0548579270458516
2	5.47995E-11	3.33001974141181E+20	9.45919E-06	191186979947.082	0.000412014332247557	105717.297147007	0.0549449117654652
2.1	5.49998E-11	3.30580916617171E+20	9.5508E-06	253758079981.047	0.000410513845504893	104703.270930184	0.0552750021084607
2.2	5.51616E-11	3.28644440995665E+20	9.60482E-06	326741855837.042	0.000409309726331361	104114.392565399	0.0554245917634109
2.3	5.52835E-11	3.2719671828229E+20	9.66313E-06	423380193120.225	0.000408407199254751	103486.137514449	0.0556381164448696
2.4	5.53821E-11	3.26032700384206E+20	9.67571E-06	533303688419.734	0.000407680087970662	103351.588668945	0.0556113644814506
2.5	5.54595E-11	3.25123304449851E+20	9.69641E-06	645363669221.047	0.000407111124333973	103130.95258967	0.0556525602194782
2.6	5.55282E-11	3.24319311023763E+20	9.73465E-06	745151358162.578	0.000406607442704788	102725.829896298	0.0558029133582544
2.7	5.55865E-11	3.23639365338224E+20	9.77884E-06	876621294391.625	0.00040618098639058	102261.617942414	0.0559974354818218
2.8	5.56365E-11	3.23057923407999E+20	9.78395E-06	1043786134133.31	0.000405815955353051	102208.208341212	0.0559763466596332
2.9	5.56777E-11	3.22579991958659E+20	9.78617E-06	1231161390473.55	0.000405515662464506	102185.022332537	0.0559476174280908
3	5.5714E-11	3.22159780197031E+20	9.81645E-06	1418412616150.45	0.000405251452058729	101869.820556311	0.0560841634459859
3.1	5.57451E-11	3.21800416797053E+20	9.8571E-06	1451278783436.17	0.00040502536366425	101449.716448043	0.0562849896960098
3.2	5.578E-11	3.21397859567391E+20	9.83272E-06	1522810520324.85	0.0004047719505199	101701.258654777	0.0561106486926833
3.3	5.58081E-11	3.21074286244563E+20	9.85694E-06	1902673201978.55	0.000404568143334032	101451.363201967	0.0562205387662588
3.4	5.58305E-11	3.2081669868106E+20	9.85062E-06	2105422650345.69	0.000404405824773197	101516.452771501	0.0561619496698142
3.5	5.58538E-11	3.20549090391713E+20	9.85336E-06	2224652815032.56	0.000404237122630869	101488.223306568	0.0561541363368062
3.6	5.58738E-11	3.20319650675642E+20	9.8898E-06	2101411792823.78	0.000404092426146065	101114.279358531	0.056341632614593
3.7	5.58997E-11	3.20022892124321E+20	9.89518E-06	2711565651995.91	0.000403905198060097	101059.303620551	0.0563461632096222
3.8	5.59094E-11	3.19911857029323E+20	9.88936E-06	2584777074383.79	0.000403835122537534	101118.77816158	0.0563032523337995
3.9	5.59371E-11	3.1959509536946E+20	9.90128E-06	2394276179598.37	0.000403635143759687	100997.042806587	0.0563432017368551
