Setup title	"Solar Cell Cp-V"
Application test name	"Solar Cell Cp-V"
Test date	4/3/2023
Test time	18:26:54
Device ID	
Count	7
Flags	
Remarks	
Name	Anode	VdcStart	VdcStop	VdcStep	OscLevel	FREQ	IntegTime	HoldTime	DelayTime	CpMin	CpMax	GMin	GMax	NMin	NMax
Value	"CMU1:MF	MFCMU"	-5	5	0.1	0.06	1000000	MEDIUM	0	0	1E-15	5E-07	0	0.005	1E+15	1E+17
Name	Temp	Area	Es
Value	25	1	25.5
Vdc	Cp	Cp_2	G	N	W	Rp	D
-2.2	5.24947E-11	3.62885055905731E+20	3.51604E-05	-42175590302.9766	0.00043010398002084	28441.0871321145	0.106600313195231
-2.1	5.13002E-11	3.79981001856086E+20	3.35419E-05	-21150640533.1598	0.000440118740277816	29813.4571983102	0.104061176870566
-2	4.90783E-11	4.15165233554546E+20	3.05249E-05	-10872457382.5144	0.000460044039830231	32760.140082359	0.0989885289911636
-1.9	4.55637E-11	4.81683791350405E+20	2.59982E-05	-7625117291.03774	0.000495529981103378	38464.201367787	0.090812248379582
-1.8	4.22509E-11	5.60180608696313E+20	2.19791E-05	-8484010105.39473	0.000534383395383294	45497.7683344632	0.0827930862943028
-1.7	4.0422E-11	6.12018294813183E+20	1.98906E-05	-13555307739.531	0.000558561659492356	50275.0042733754	0.0783159495092883
-1.6	3.94744E-11	6.41754503270105E+20	1.88988E-05	-22974834329.8605	0.000571970173074195	52913.4124917984	0.0761971667335253
-1.5	3.89206E-11	6.60147444672717E+20	1.83178E-05	-34814519746.0161	0.000580108718776175	54591.7086112961	0.0749055363116051
-1.4	3.85324E-11	6.73515942248058E+20	1.79482E-05	-50031583007.5737	0.000585953104400453	55715.8935157843	0.0741335797822787
-1.3	3.8285E-11	6.82248669099145E+20	1.76499E-05	-73885381707.131	0.00058973956902181	56657.5448019535	0.0733725696768539
-1.2	3.81113E-11	6.88481815319444E+20	1.74514E-05	-135521375414.954	0.000592427427036076	57301.9929633153	0.0728780328636022
-1.1	3.80581E-11	6.90407966782437E+20	1.73852E-05	-16106671217173.9	0.000593255559263337	57520.1895865449	0.0727030649623055
-1	3.81094E-11	6.8855046757102E+20	1.74846E-05	132117273953.983	0.000592456963373866	57193.187147547	0.0730203182937873
-0.9	3.82909E-11	6.82038438624863E+20	1.75793E-05	62839239956.78	0.000589648699821629	56885.0864368888	0.0730678174473847
-0.8	3.86059E-11	6.70953831373314E+20	1.79597E-05	38242856707.9015	0.000584837535195398	55680.2173755686	0.0740398496459928
-0.7	3.91293E-11	6.53124300413233E+20	1.85098E-05	27131195675.333	0.000577014651424891	54025.4351748803	0.0752869631105874
-0.6	3.98347E-11	6.30197822766397E+20	1.92282E-05	21862159523.9969	0.00056679677266303	52006.9481282699	0.0768240523152014
-0.5	4.07385E-11	6.02545617038149E+20	2.0169E-05	19183225950.5997	0.00055422215840053	49581.0402102236	0.078795145801177
-0.4	4.17918E-11	5.72555836621452E+20	2.13654E-05	18799545225.0381	0.000540253815341766	46804.6467653309	0.0813654597585277
-0.3	4.28854E-11	5.43727213123403E+20	2.26067E-05	19851069561.9925	0.000526477062123706	44234.6737913981	0.0838972716121678
-0.2	4.39862E-11	5.16853082620885E+20	2.37944E-05	22595414077.0824	0.000513301430903329	42026.6953568907	0.0860951020526154
-0.1	4.49562E-11	4.94789882712568E+20	2.49493E-05	27056064865.7646	0.000502226153456031	40081.284845667	0.0883260689667638
0	4.58357E-11	4.75983900426582E+20	2.59915E-05	32363462775.2482	0.000492589387747978	38474.116538099	0.0902500824329953
0.1	4.65937E-11	4.60622981224341E+20	2.69651E-05	38754712118.0736	0.000484575798874097	37084.9727981725	0.0921074942742978
